설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1K, 0, 2211, 0, 0, 0, 0, 103414.3812, 281310.0888, 0, 384724.47, 29815.7771737876, 0, 414540.247173788, 0, 0, 0, 0.846724667349028, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2K, 0, 2924, 0, 0, 0, 0, 167235.0368, 329732.3172, 0, 496967.354, 39430.7247653346, 0, 536398.078765335, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3K, 1805, 139898.0163084, 0, 77.5058262096397, 0, 65.6260949149687, 8440343.77127678, 15166594.7789374, 0, 23606938.5502142, 1886552.72786348, 0, 25493491.2780777, 13078.6363159081, 1045.18156668337, 14123.8178825915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5K, 5732, 156227.15166035, 33.43, 27.2552602338364, 28.3259599237122, 23.0777011550063, 8983511.24407166, 17550359.1147431, 0, 26533870.3588147, 2106754.38371801, 0, 28640624.7425327, 4629.07717355456, 367.542634982207, 4996.61980853676, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6K, 0, 38731, 73.73, 0, 62.4730190001585, 0, 3102656.40035, 3135795.6491875, 0, 6238452.0495375, 522295.280740826, 0, 6760747.33027833, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 7537, 339991.16796875, 41.9319319955407, 45.1096149620207, 35.5298302491627, 38.1954237229597, 20797160.8336984, 36463791.948868, 0, 57260952.7825664, 4584848.89426144, 0, 61845801.6768278, 7597.3136238, 608.31217915, 8205.62580295, 0.846724667349028, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1C, 0, 0, 37.33, 0, 37.33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2C, 813, 25126.3070434366, 37.33, 30.9056667200942, 37.33, 30.9056667200942, 3354691.29741207, 171810.819751865, 0, 3526502.11716393, 257256.612977077, 0, 3783758.73014101, 4337.64098052144, 316.428798249787, 4654.06977877123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3C, 701, 24773.592618648, 37.33, 35.34036036897, 37.33, 35.34036036897, 3231121.07993199, 275549.405213334, 0, 3506670.48514533, 253645.33344792, 0, 3760315.81859325, 5002.38300306038, 361.833571252382, 5364.21657431276, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4C, 657, 24299.9805284618, 37.33, 36.9862717328186, 37.33, 36.9862717328186, 3170816.4762364, 268245.753200515, 0, 3439062.22943692, 248796.238753039, 0, 3687858.46818996, 5234.49349990399, 378.68529490569, 5613.17879480968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5C, 828, 36259.1437572132, 38.56, 43.791236421755, 38.56, 43.791236421755, 4747164.41551094, 378276.424011468, 0, 5125440.83952241, 371240.56855248, 0, 5496681.40807489, 6190.14594145218, 448.35817458029, 6638.50411603247, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
