설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 8713, 18123.6015625, 2.26, 2.08006445110754, 2.737538, 2.58730247073647, 1536143.10655, 893862.687067187, 654831.275759375, 3084837.06937656, 420356.574440781, 0, 3505193.64381734, 354.049933361249, 48.2447577689408, 402.29469113019, 1.24385687633806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 4337.5, 3.25, 0, 3.936725, 0, 234239.8032, 274776.931, 335048.6854, 844065.4196, 100603.438855636, 0, 944668.858455636, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 8713, 22461.1015625, 2.73777750715179, 2.5778838015035, 3.31626989441296, 3.20651849290064, 1770382.90975, 1168639.61806719, 989879.961159375, 3928902.48897656, 520960.013296417, 0, 4449862.50227298, 450.92419247, 59.79111825, 510.71531072, 1.24385687633806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31972152243481, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 2574, 55443.5069026708, 22.51, 21.5398239715116, 29.5634730696465, 28.426569284661, 6777316.21004712, 738106.263253849, 729691.673385432, 8245114.1466864, 1040148.62675402, 0, 9285262.77344042, 3203.23004921772, 404.098145592082, 3607.3281948098, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1113, 0, 0, 0, 0, 63682.216, 71096.129, 78008.0444, 212786.3894, 20880.4508634257, 0, 233666.840263426, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 4224, 63023.4875894791, 15.34, 14.9203332361456, 20.1467648551034, 19.6906848936407, 3654649.95621095, 4029175.63442996, 4315495.54360642, 11999321.1342473, 1182352.95224963, 0, 13181674.086497, 2840.74837458507, 279.913104225765, 3120.66147881083, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
