설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5K, 0, 11384, 40.64, 0, 34.4351484086049, 0, 1575996.4064, 0, 0, 1575996.4064, 144204.663996224, 0, 1720201.07039622, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6K, 8220, 265914, 38.82, 32.3496350364964, 32.8930231599912, 26.7909209459171, 36813027.7944, 0, 0, 36813027.7944, 3368415.23382747, 0, 40181443.0282275, 4478.47053459854, 409.782875161493, 4888.25340976003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 11991, 435111.9375, 39.3322771886173, 36.2865430322742, 33.3270866692525, 30.0513407548961, 60236722.582725, 0, 0, 60236722.582725, 5511698.06288946, 0, 65748420.6456145, 5023.49450277, 459.65291159, 5483.14741436, 0.828167641325536, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1C, 0, 0, 36.07, 0, 36.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2C, 0, 0, 36.07, 0, 36.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3C, 0, 0, 36.07, 0, 36.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4C, 0, 0, 36.07, 0, 36.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5C, 694, 27533.8959049885, 38.53, 39.6742015922025, 38.53, 39.6742015922025, 3811781.53552825, 0, 0, 3811781.53552825, 492200.296272183, 0, 4303981.83180043, 5492.48059874388, 709.222328922454, 6201.70292766633, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6C, 943, 29667.6942916487, 38.53, 31.4609695563613, 38.53, 31.4609695563613, 4107183.73065813, 0, 0, 4107183.73065813, 530344.415132927, 0, 4637528.14579105, 4355.44404099483, 562.401288582107, 4917.84532957694, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7C, 878, 40353.1387859789, 38.53, 45.9602947448507, 38.53, 45.9602947448507, 5586472.3922754, 0, 0, 5586472.3922754, 721359.118030689, 0, 6307831.51030609, 6362.72482035923, 821.593528508758, 7184.31834886799, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8C, 0, 2187, 55.53, 0, 55.53, 0, 302767.4052, 0, 0, 302767.4052, 39095.1593505602, 0, 341862.56455056, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9C, 0, 2219.51838130522, 36.6, 0, 36.6, 0, 307269.236900542, 0, 0, 307269.236900542, 39676.4630995084, 0, 346945.70000005, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10C, 993, 37558.7526360787, 36.6, 37.8235172568768, 36.6, 37.8235172568768, 5199618.69143767, 0, 0, 5199618.69143767, 671406.227396328, 0, 5871024.918834, 5236.27259963512, 676.139201808991, 5912.41180144411, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11C, 0, 0, 37.37, 0, 37.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12C, 3027, 90228.5219190209, 37.37, 29.8079028473806, 37.37, 29.8079028473806, 12491200.4830605, 0, 0, 12491200.4830605, 1612939.38838118, 0, 14104139.8714417, 4126.59414703023, 532.850805543832, 4659.44495257406, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13C, 3725, 111400.122833622, 37.37, 29.9060732439254, 37.37, 29.9060732439254, 15422188.4450375, 0, 0, 15422188.4450375, 1991406.28891287, 0, 17413594.7339504, 4140.18481745974, 534.605715144394, 4674.79053260413, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 10260, 341148.644752643, 38.0582442850227, 33.250355239049, 38.0582442850227, 33.250355239049, 47228481.920098, 0, 0, 47228481.920098, 6098427.35657624, 0, 53326909.2766743, 4603.16587915, 594.38863125, 5197.5545104, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
출하, 2427.97, 4571, 0.84, 1.88264270151608, 0.84, 1.88264270151608, 632807.4116, 0, 0, 632807.4116, 345294.348617992, 0, 978101.760217992, 260.632302540806, 142.215245088692, 402.847547629498, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기타, 0, 37696.515625, 3.79513271981006, 3.79513271981006, 2.77594979092236, 2.77594979092236, 5218690.54451875, 0, 0, 5218690.54451875, 509135.256562968, 0, 5727825.80108172, 0, 0, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
폐열, 0, 3428.734375, 0, 0, 0, 0, 474672.61538125, 0, 0, 474672.61538125, 0, 0, 474672.61538125, 0, 0, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
판매사업, 790, 52873.7927473569, 0, 0, 0, 0, 7319826.71842699, 0, 0, 7319826.71842699, 0, 0, 7319826.71842699, 9265.60344104682, 0, 9265.60344104682, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
