설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 5184, 13515.9375, 2.26, 2.60724103009259, 2.737538, 3.26163021902256, 868535.4405, 576851.41288125, 1168776.88785, 2614163.74123125, 243648.652027876, 0, 2857812.39325913, 504.275413046152, 47.0001257769822, 551.275538823134, 1.25098914192323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 6689, 22967.5, 3.25, 3.43362236507699, 3.936725, 4.29542429617606, 2075486.4832, 941447.25415, 847889.5568, 3864823.29415, 414029.764154372, 0, 4278853.05830437, 577.787904641949, 61.8971093069775, 639.685013948927, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 11873, 36483.4375, 2.73777750715179, 3.07280699907353, 3.31626989441296, 3.84404819106668, 2944021.9237, 1518298.66703125, 2016666.44465, 6478987.03538125, 657678.416182248, 0, 7136665.4515635, 545.69081406, 55.39277488, 601.08358895, 1.25098914192323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30559779889945, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 6070, 111308.981824305, 22.51, 18.3375587848938, 29.5634730696465, 23.9414763867466, 6886618.92303924, 6746616.13453218, 7291829.07569223, 20925064.1332637, 1192614.22952379, 0, 22117678.3627874, 3447.29227895612, 196.476808817759, 3643.76908777388, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1122, 0, 0, 0, 0, 64928.1724, 71480.4324, 77456.7508, 213865.3556, 12021.6099688867, 0, 225886.965568887, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3719, 49969.6588006947, 15.34, 13.4363158915554, 20.1467648551034, 17.5424244533325, 3088006.17181076, 2525907.34096313, 4001971.61390777, 9615885.12668166, 535397.280196344, 0, 10151282.406878, 2585.61041319754, 143.962699703239, 2729.57311290078, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
