설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 29800, 12087.03125, 2.26, 0.405605075503356, 2.737538, 0.475178411935849, 1335591.7147625, 281934.581825, 268014.829225, 1885541.1258125, 60767.6328498004, 0, 1946308.7586623, 63.2731921413591, 2.03918231039599, 65.312374451755, 1.17152974810819, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 12577, 35961, 3.25, 2.85926691579868, 3.936725, 3.34971624963971, 1306316.0656, 2699154.9299, 3439520.7704, 7444991.7659, 180794.175154604, 0, 7625785.9410546, 591.952911338157, 14.3749841102492, 606.327895448406, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 42377, 48048.03125, 2.73777750715179, 1.13382332987234, 3.31626989441296, 1.32830776004453, 2641907.7803625, 2981089.511725, 3707535.599625, 9330532.8917125, 241561.808004404, 0, 9572094.6997169, 220.17917483, 5.7003046, 225.87947943, 1.17152974810819, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24002684912524, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 56.78125, 22.51, 0, 29.5634730696465, 0, 3149.5009, 3764.972371875, 3979.650675, 10894.123946875, 1029.55597877879, 0, 11923.6799256538, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1137, 0, 0, 0, 0, 65066.612, 73209.7977, 78834.9848, 217111.3945, 20616.0510357114, 0, 237727.445535711, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 1976.9375, 15.34, 0, 20.1467648551034, 0, 113909.833375, 127000.26421875, 135945.556175, 376855.65376875, 35845.7734339593, 0, 412701.427202709, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
