설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 8354, 22844.21875, 2.26, 2.73452462892028, 2.737538, 3.28327842246514, 1481048.4719875, 973692.71130625, 1951234.7855, 4405975.96879375, 327871.182755866, 0, 4733847.15154962, 527.409141584121, 39.2472088527491, 566.656350436871, 1.20067612035425, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 6800, 24693.5, 3.25, 3.63139705882353, 3.936725, 4.36013173205406, 871061.9632, 1739645.41595, 2576746.2864, 5187453.66555, 354412.954103847, 0, 5541866.61965385, 762.860833169118, 52.1195520740951, 814.980385243213, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 15154, 47537.71875, 2.73777750715179, 3.13697497360433, 3.31626989441296, 3.76649094095561, 2352110.4351875, 2713338.12725625, 4527981.0719, 9593429.63434375, 682284.136859713, 0, 10275713.7712035, 633.06253361, 45.0233692, 678.08590281, 1.20067612035425, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28443262757342, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.71875, 22.51, 0, 29.5634730696465, 0, 3422.0538625, 3566.81593125, 3979.650675, 10968.52046875, 868.76694829531, 0, 11837.2874170453, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1116, 0, 0, 0, 0, 64374.414, 72633.3426, 75251.5764, 212259.333, 16797.7288887505, 0, 229057.06188875, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 2060.9375, 15.34, 0, 20.1467648551034, 0, 98326.7259, 144125.78448125, 165560.35925, 408012.86963125, 31020.6714889419, 0, 439033.541120192, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
