설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 2805.75, 2.26, 0, 2.737538, 0, 53264.6361, 306974.35023125, 226977.911875, 587216.89820625, 473312.430870127, 0, 1060529.32907638, 0, 0, 0, 1.18413286158109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 845, 14277, 3.25, 16.8958579881657, 3.936725, 20.0069406683943, 790490.116, 921463.47735, 1039601.9062, 2751555.49955, 2408440.37263933, 0, 5159995.87218933, 3256.27869769231, 2850.2252930643, 6106.5039907566, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 845, 17082.75, 2.73777750715179, 20.2162721893491, 3.31626989441296, 23.9387522380761, 843754.7521, 1228437.82758125, 1266579.818075, 3338772.39775625, 2881752.80350946, 0, 6220525.20126571, 3951.20993817, 3410.35834735, 7361.56828552, 1.18413286158109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28853953780852, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 56.59375, 22.51, 0, 29.5634730696465, 0, 3136.5221875, 3566.81593125, 4238.06955, 10941.40766875, 583.989002138505, 0, 11525.3966708885, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1123, 0, 0, 0, 0, 64235.9744, 72249.0392, 78008.0444, 214493.058, 11588.1992163718, 0, 226081.257216372, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 5307.72174072265, 15.34, 0, 20.1467648551034, 0, 247341.534629223, 352456.226030518, 464967.327929736, 1064765.08858948, 54770.2020628332, 0, 1119535.29065231, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
