설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 4503.75, 2.26, 0, 2.737538, 0, 623497.3485, 0, 0, 623497.3485, 52063.9028420865, 0, 675561.251342086, 0, 0, 0, 1.22418953821147, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 18293, 41755.75, 3.25, 2.28260810145957, 3.936725, 2.79434495764356, 5780649.3277, 0, 0, 5780649.3277, 482701.595581116, 0, 6263350.92328112, 316.003352522823, 26.3872298464504, 342.390582369273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 18293, 46259.5, 2.73777750715179, 2.52880883398021, 3.31626989441296, 3.09574131869533, 6404146.6762, 0, 0, 6404146.6762, 534765.498423203, 0, 6938912.1746232, 350.08728345, 29.23334054, 379.32062399, 1.22418953821147, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30348336847541, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 5830, 112245.362091064, 22.51, 19.2530638235102, 29.5634730696465, 25.0960484861411, 15539203.0297421, 0, 0, 15539203.0297421, 1129661.67005257, 0, 16668864.6997947, 2665.38645450122, 193.767010300612, 2859.15346480184, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 5408, 0, 0, 0, 0, 748681.3568, 0, 0, 748681.3568, 54427.2849927457, 0, 803108.641792746, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 2362, 36877.6379089355, 15.34, 15.6128864982792, 20.1467648551034, 20.3511378844012, 5105325.44105787, 0, 0, 5105325.44105787, 371144.546658454, 0, 5476469.98771633, 2161.44176166718, 157.131476146678, 2318.57323781386, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
