설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 1212, 5596.625, 2.26, 4.61767739273927, 2.737538, 5.43433130797758, 166214.04475, 844698.8732, 0, 1010912.91795, 116453.685186263, 0, 1127366.60313626, 834.086565965346, 96.0838986685338, 930.17046463388, 1.17685382623792, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 7536, 26444.5, 3.25, 3.50908970276009, 3.936725, 4.12968564330531, 1504561.5728, 2993050.95505, 0, 4497612.52785, 550252.961009203, 0, 5047865.4888592, 596.816949024682, 73.0165818748942, 669.833530899576, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 8748, 32041.125, 2.73777750715179, 3.66268004115226, 3.31626989441296, 4.31043902071532, 1670775.61755, 3837749.82825, 0, 5508525.4458, 666706.646195466, 0, 6175232.09199547, 629.68969431, 76.21246527, 705.90215958, 1.17685382623792, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28467117988395, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 56.78125, 22.51, 0, 29.5634730696465, 0, 3149.5009, 6539.162540625, 0, 9688.663440625, 1069.95035010929, 0, 10758.6137907343, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1121, 0, 0, 0, 0, 64928.1724, 125282.9084, 0, 190211.0808, 21123.4226522403, 0, 211334.50345224, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 2420.75, 15.34, 0, 20.1467648551034, 0, 140317.187075, 270393.47034375, 0, 410710.65741875, 45615.0984704822, 0, 456325.755889232, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
