설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 2598.75, 2.26, 0, 2.737538, 0, 359769.9105, 0, 0, 359769.9105, 3008820.59009831, 0, 3368590.50059831, 0, 0, 0, 1.12542549921446, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 3958, 19661.5, 3.25, 4.96753410813542, 3.936725, 5.59058955351318, 2721930.1954, 0, 0, 2721930.1954, 22763992.7011902, 0, 25485922.8965902, 687.703434916625, 5751.38774663724, 6439.09118155386, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 3958, 22260.25, 2.73777750715179, 5.62411571500758, 3.31626989441296, 6.32952323620231, 3081700.1059, 0, 0, 3081700.1059, 25772813.2912885, 0, 28854513.3971885, 778.60032994, 6511.57485884, 7290.17518878, 1.12542549921446, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23497262005055, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.8125, 22.51, 0, 29.5634730696465, 0, 8003.539375, 0, 0, 8003.539375, 20146.6841206533, 0, 28150.2234956533, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1124, 0, 0, 0, 0, 155606.1104, 0, 0, 155606.1104, 391695.099703599, 0, 547301.210103599, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, -997414.921936035, 15.34, 0, 20.1467648551034, 0, -138081722.826856, 0, 0, -138081722.826856, -347582328.553018, 0, -485664051.379874, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
