설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 10884, 23002.375, 2.26, 2.11341188901139, 2.737538, 2.56109553475635, 1479166.558675, 1653777.6250125, 1022976.958575, 4155921.1422625, 464054.330525259, 0, 4619975.47278776, 381.837664669469, 42.6363772992704, 424.474041968739, 1.21182981323833, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 4405, 3.25, 0, 3.936725, 0, 227179.3836, 315320.9397, 309551.3564, 852051.6797, 88867.3159168897, 0, 940918.99561689, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 10884, 27407.375, 2.73777750715179, 2.51813441749357, 3.31626989441296, 3.05155036086025, 1706345.942275, 1969098.5647125, 1332528.314975, 5007972.8219625, 552921.646442148, 0, 5560894.46840465, 460.122457, 50.80132731, 510.92378431, 1.21182981323833, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28218165566557, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 2486, 54248.9202592704, 22.51, 21.8217700157966, 29.5634730696465, 27.9794732084073, 3940144.7479431, 2532404.82819056, 3475524.17161032, 9948073.74774398, 759920.626585315, 0, 10707994.3743293, 4001.63867568141, 305.680058964326, 4307.31873464573, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1114, 0, 0, 0, 0, 63820.6556, 72249.0392, 76354.1636, 212423.8584, 15604.9479689207, 0, 228028.806368921, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3539, 54062.2323105875, 15.34, 15.2761323285073, 20.1467648551034, 19.5867766411318, 3726402.38764456, 3118879.21566356, 3008332.86726276, 9853614.47057088, 757305.495772369, 0, 10610919.9663432, 2784.29343616018, 213.988554894707, 2998.28199105489, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
