설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 2018, 10130.34375, 2.26, 5.01999194747275, 2.737538, 6.06409062593295, 410629.15855, 1056936.43059062, 458590.135575, 1926155.72471562, 486251.539500183, 0, 2412407.26421581, 954.487475082074, 240.957155351924, 1195.444630434, 1.2079881181853, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 2371, 12705, 3.25, 5.35849852382961, 3.936725, 6.47300254809962, 1028883.1072, 595478.1183, 599256.1432, 2223617.3687, 609833.778774765, 0, 2833451.14747476, 937.839463812737, 257.205305261394, 1195.04476907413, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 4389, 22835.34375, 2.73777750715179, 5.20285799726589, 3.31626989441296, 6.28499064130255, 1439512.26575, 1652414.54889062, 1057846.278775, 4149773.09341562, 1096085.31827495, 0, 5245858.41169057, 945.49398346, 249.7346362, 1195.22861966, 1.2079881181853, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28186330265743, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.75, 22.51, 0, 29.5634730696465, 0, 3422.0538625, 3758.96763125, 3712.6178375, 10893.63933125, 1081.43856769392, 0, 11975.0778989439, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1129, 0, 0, 0, 0, 64097.5348, 73594.1011, 78008.0444, 215699.6803, 21141.889920804, 0, 236841.570220804, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 1641.6875, 15.34, 0, 20.1467648551034, 0, 104175.799, 98213.5376625, 104211.718325, 306601.0549875, 30742.5831792382, 0, 337343.638166738, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
