설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 6576, 12076.125, 2.26, 1.83639370437956, 2.737538, 2.20405111260242, 1406745.342925, 222187.41260625, 209043.64195, 1837976.39748125, 138044.258072182, 0, 1976020.65555343, 279.497627354205, 20.9921317019741, 300.489759056179, 1.20020620161463, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 11808, 34494.75, 3.25, 2.92130335365854, 3.936725, 3.5061664018586, 2174505.4071, 2282810.233925, 1903961.3593, 6361277.000325, 394315.409217393, 0, 6755592.40954239, 538.726033225356, 33.3939201572995, 572.119953382655, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 18384, 46570.875, 2.73777750715179, 2.5332286227154, 3.31626989441296, 3.04039670309072, 3581250.750025, 2504997.64653125, 2113005.00125, 8199253.39780625, 532359.667289575, 0, 8731613.06509583, 445.99942329, 28.95777128, 474.95719458, 1.20020620161463, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26995588077047, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 2401, 50874.2456004539, 22.51, 21.1887736778233, 29.5634730696465, 26.9088077384664, 6152705.97439386, 720079.529464003, 739709.396044278, 7612494.89990214, 495470.214842095, 0, 8107965.11474423, 3170.55181170435, 206.35993954273, 3376.91175124708, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1137, 0, 0, 0, 0, 66035.6892, 73401.9494, 76629.8104, 216067.449, 11073.3756859961, 0, 227140.824685996, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 4512, 60906.2153370461, 15.34, 13.4987179381751, 20.1467648551034, 17.1427762284474, 3499312.67164052, 3898283.57766568, 4228936.15546822, 11626532.4047744, 593172.738820837, 0, 12219705.1435953, 2576.80239467518, 131.465589277668, 2708.26798395285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
