설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 4310.5, 2.26, 0, 2.737538, 0, 234456.115075, 502848.98941875, 0, 737305.10449375, 71708.845023991, 0, 809013.949517741, 0, 0, 0, 1.21848206972857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 12616, 34178, 3.25, 2.70909955611921, 3.936725, 3.30098923424088, 853064.8152, 5383322.0272, 0, 6236386.8424, 568580.189126544, 0, 6804967.03152654, 494.323624159797, 45.0681823974749, 539.391806557272, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 12616, 38488.5, 2.73777750715179, 3.05076886493342, 3.31626989441296, 3.71730716080754, 1087520.930275, 5886171.01661875, 0, 6973691.94689375, 640289.034150535, 0, 7613980.98104428, 552.76569015, 50.75214285, 603.51783299, 1.21848206972857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29299210656142, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 4505, 89076.8144116169, 22.51, 19.7728777828228, 29.5634730696465, 25.5661748971936, 6805873.04305187, 7669830.70883451, 0, 14475703.7518864, 887587.562642615, 0, 15363291.314529, 3213.25277511351, 197.022766402356, 3410.27554151587, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 5491, 0, 0, 0, 0, 317995.7612, 613732.5298, 0, 931728.291, 54713.9380619228, 0, 986442.229061923, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 4200, 58425.2637133831, 15.34, 13.910777074615, 20.1467648551034, 17.9865249536128, 3352165.05372938, 6573768.33336236, 0, 9925933.38709174, 582166.501559925, 0, 10508099.8886517, 2363.31747311708, 138.611071799982, 2501.92854491706, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
