설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 16376, 26900.4375, 2.26, 1.64267449316072, 2.737538, 2.05538850568975, 1636001.320525, 1431734.32618125, 2103719.149675, 5171454.79638125, 210560.356337153, 0, 5382015.1527184, 315.794748191332, 12.8578625022687, 328.652610693601, 1.25124515797096, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 10935, 29174.5, 3.25, 2.66799268404207, 3.936725, 3.33831292740958, 1000849.0882, 2331856.95535, 2703957.2846, 6036663.32815, 228360.342316301, 0, 6265023.6704663, 552.049687073617, 20.8834332250847, 572.933120298701, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 27311, 56074.9375, 2.73777750715179, 2.05319971806232, 3.31626989441296, 2.56905620557281, 2636850.408725, 3763591.28153125, 4807676.434275, 11208118.1245312, 438920.698653453, 0, 11647038.8231847, 410.38841948, 16.07120569, 426.45962518, 1.25124515797096, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31344065353196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 3120, 64525.6821497589, 22.51, 20.681308381333, 29.5634730696465, 27.1636711962739, 6745590.1453414, 2509683.46881051, 754958.600961258, 10010232.2151132, 679536.559146166, 0, 10689768.7742593, 3208.40776125422, 217.800179213515, 3426.20794046773, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1120, 0, 0, 0, 0, 64374.414, 71672.5841, 77732.3976, 213779.3957, 11795.0081407477, 0, 225574.403840748, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3413, 56467.2397252411, 15.34, 16.5447523367246, 20.1467648551034, 21.7305503216719, 3323035.4379086, 3249796.52773168, 4286604.14311374, 10859436.108754, 594671.028789974, 0, 11454107.137544, 3181.78614378963, 174.237043302073, 3356.02318709171, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
