설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 6040, 14805.25, 2.26, 2.45120033112583, 2.737538, 2.86863097762607, 1364599.1372, 552892.4977875, 570830.06695, 2488321.7019375, 119457.5281068, 0, 2607779.2300443, 411.973791711507, 19.7777364415232, 431.75152815303, 1.17029642220574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 17882, 43111.5, 3.25, 2.41088804384297, 3.936725, 2.82145365204802, 2186030.5038, 3061072.65685, 3139754.8754, 8386858.03605, 347849.122640707, 0, 8734707.15869071, 469.011186447265, 19.4524730254282, 488.463659472694, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 23922, 57916.75, 2.73777750715179, 2.4210663824095, 3.31626989441296, 2.83336532525642, 3550629.641, 3613965.1546375, 3710584.94235, 10875179.7379875, 467306.650747507, 0, 11342486.388735, 454.60997149, 19.53459789, 474.14456938, 1.17029642220574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23659560723514, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 3785, 76324.1418192675, 22.51, 20.1648987633468, 29.5634730696465, 24.935825231096, 6642934.46183122, 3182617.79694544, 3246221.31517399, 13071773.5739506, 911116.755469533, 0, 13982890.3294202, 3453.57293895658, 240.717768948358, 3694.29070790494, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1122, 0, 0, 0, 0, 64789.7328, 72441.1909, 76354.1636, 213585.0873, 13393.8354925433, 0, 226978.922792543, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3280, 51635.5613057325, 15.34, 15.742549178577, 20.1467648551034, 19.4671671609115, 2852259.15638753, 3079188.77658113, 4136870.54829476, 10068318.4812634, 616397.694914543, 0, 10684716.176178, 3069.60929306811, 187.926126498336, 3257.53541956645, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
