설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 40177, 31049.375, 2.26, 0.772814670084874, 2.737538, 0.915761144643518, 1585193.987325, 2125810.28554375, 2352852.1731, 6063856.44596875, 154973.630596193, 0, 6218830.07656494, 150.928552305268, 3.85727233482323, 154.785824640091, 1.18496863490304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 6772.5, 3.25, 0, 3.936725, 0, 411927.0298, 383150.4898, 496991.1804, 1292068.7, 33802.8998397783, 0, 1325871.59983978, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 40177, 37821.875, 2.73777750715179, 0.941381262911616, 3.31626989441296, 1.11550727003568, 1997121.017125, 2508960.77534375, 2849843.3535, 7355925.14596875, 188776.530435971, 0, 7544701.67640472, 183.08796441, 4.69862186, 187.78658627, 1.18496863490304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25499424184261, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 386, 16396.9193338407, 22.51, 42.4790656317117, 29.5634730696465, 53.3109827666525, 1474727.35930823, 631471.817106329, 677568.396704112, 2783767.57311867, 240780.438986602, 0, 3024548.01210527, 7211.83309098101, 623.783520690679, 7835.61661167169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1125, 0, 0, 0, 0, 65205.0516, 72249.0392, 76629.8104, 214083.9012, 16520.054062892, 0, 230603.955262892, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 4560, 64985.740649817, 15.34, 14.2512589144335, 20.1467648551034, 17.8852478766223, 3726576.01037823, 4185691.63324455, 4488646.07861821, 12400913.722241, 954282.621201825, 0, 13355196.3434428, 2719.49862329846, 209.272504649523, 2928.77112794799, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
