설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 5157.75, 2.26, 0, 2.737538, 0, 194697.99245, 403691.206292969, 454948.582928125, 1053337.78167109, 0, 0, 1053337.78167109, 0, 0, 0, 1.22132461909259, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 9361, 3.25, 0, 3.936725, 0, 579092.8468, 632371.2447, 520145.5116, 1731609.6031, 0, 0, 1731609.6031, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 0, 14518.75, 2.73777750715179, 0, 3.31626989441296, 0, 773790.83925, 1036062.45099297, 975094.094528125, 2784947.38477109, 0, 0, 2784947.38477109, #ERROR, #ERROR, #ERROR, 1.22132461909259, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26281028368794, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 2876, 62601.979858683, 22.51, 21.7670305489162, 29.5634730696465, 27.487630022521, 6790299.65195473, 999320.909301088, 2302331.07220625, 10091951.6334621, 650882.302371267, 0, 10742833.9358333, 3509.02351650281, 226.315125998354, 3735.33864250116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1202, 0, 0, 0, 0, 65758.81, 84931.0514, 78559.338, 229249.1994, 12497.3767477699, 0, 241746.57614777, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3988, 57036.442016317, 15.34, 14.3020165537405, 20.1467648551034, 18.0607335815387, 3392116.79313902, 3886811.59651922, 3392139.8805, 10671068.2701582, 593016.559259771, 0, 11264084.829418, 2675.79445089224, 148.700240536552, 2824.49469142879, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
