설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 5226, 11861, 2.26, 2.26961347110601, 2.737538, 2.70669709187508, 496660.717475, 1071353.81283125, 743660.61055, 2311675.14085625, 464251.364710529, 0, 2775926.50556678, 442.341205674751, 88.8349339285359, 531.176139603287, 1.19258064262197, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 0, 8773.5, 3.25, 0, 3.936725, 0, 479831.6536, 560890.8123, 658382.3818, 1699104.8477, 343403.536656928, 0, 2042508.38435693, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 5226, 20634.5, 2.73777750715179, 3.94843092231152, 3.31626989441296, 4.70882228667873, 976492.371075, 1632244.62513125, 1402042.99235, 4010779.98855625, 807654.901367457, 0, 4818434.88992371, 767.4665114, 154.54552265, 922.01203405, 1.19258064262197, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26904761904762, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 174, 6298.40286989796, 22.51, 36.1977176430917, 29.5634730696465, 45.9366273899235, 114790.959672758, 931544.067951518, 171249.446129724, 1217584.473754, 56657.8856039239, 0, 1274242.35935792, 6997.61191812644, 325.620032206459, 7323.2319503329, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1131, 0, 0, 0, 0, 65620.3704, 72441.1909, 77181.104, 215242.6653, 10174.0187062813, 0, 225416.684006281, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 1868, 30651.1756377551, 15.34, 16.4085522686055, 20.1467648551034, 20.8232341884922, 1096861.7997371, 2279202.90410607, 2995361.14596695, 6371425.84981012, 275725.58294256, 0, 6647151.43275268, 3410.8275427249, 147.604701789379, 3558.43224451428, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
