설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 2127, 7487.484375, 2.26, 3.52020892101551, 2.737538, 4.256519444516, 657030.0153625, 341869.399188281, 265269.128678125, 1264168.54322891, 91384.4898848587, 0, 1355553.03311376, 594.343461790741, 42.964029094903, 637.307490885644, 1.20916671141441, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 13880, 31042, 3.25, 2.2364553314121, 3.936725, 2.7042473383088, 2062473.1608, 1661920.0533, 2065972.766, 5790365.9801, 378866.544880875, 0, 6169232.52498087, 417.173341505764, 27.2958605821956, 444.469202087959, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 16007, 38529.484375, 2.73777750715179, 2.40703969357156, 3.31626989441296, 2.91051227051988, 2719503.1761625, 2003789.45248828, 2331241.89467812, 7054534.52332891, 470251.034765733, 0, 7524785.55809464, 440.71559464, 29.37783687, 470.0934315, 1.20916671141441, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28763440860215, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.59375, 22.51, 0, 29.5634730696465, 0, 3426.3801, 3554.80645, 3953.8087875, 10934.9953375, 867.190473180063, 0, 11802.1858106801, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1133, 0, 0, 0, 0, 64651.2932, 72249.0392, 79937.572, 216837.9044, 17059.6081365254, 0, 233897.512536525, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 2179.6875, 15.34, 0, 20.1467648551034, 0, 143077.3266, 126123.5720875, 135015.248225, 404216.1469125, 32819.606893277, 0, 437035.753805777, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
