설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 0, 3498.1875, 2.26, 0, 2.737538, 0, 219669.0353, 367285.96506875, 0, 586955.00036875, 96608.7877451188, 0, 683563.788113869, 0, 0, 0, 1.18342075836006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 7816, 25963, 3.25, 3.3217758444217, 3.936725, 3.93105848890767, 1305208.5488, 3177228.3595, 0, 4482436.9083, 717015.298987409, 0, 5199452.20728741, 573.494998503071, 91.7368601570381, 665.231858660109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 7816, 29461.1875, 2.73777750715179, 3.76934333418628, 3.31626989441296, 4.46071914706219, 1524877.5841, 3544514.32456875, 0, 5069391.90866875, 813624.086732528, 0, 5883015.99540128, 648.59159527, 104.09724753, 752.68884281, 1.18342075836006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22762063227953, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 5247, 99015.2379978367, 22.51, 18.8708286635862, 29.5634730696465, 23.1662186156304, 6902658.28324754, 9445179.50603451, 0, 16347837.789282, 891905.716871931, 0, 17239743.506154, 3115.65423847571, 169.983936891925, 3285.63817536763, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1697, 0, 0, 0, 0, 82925.3204, 210982.5666, 0, 293907.887, 15286.1724330222, 0, 309194.059433022, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3767, 53991.9182521633, 15.34, 14.332869193566, 20.1467648551034, 17.5953259417854, 3366743.65613996, 5701658.62571549, 0, 9068402.28185545, 486346.359688986, 0, 9554748.64154444, 2407.32739098897, 129.107077167238, 2536.43446815621, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
