설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 7902, 19717.375, 2.26, 2.49523854720324, 2.737538, 2.84315839403048, 1565198.1176, 1119559.87056875, 712529.750075, 3397287.73824375, 322153.796636555, 0, 3719441.5348803, 429.927580137149, 40.7686404247728, 470.696220561922, 1.13943350114449, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 3224, 15151, 3.25, 4.69944168734491, 3.936725, 5.35470129523578, 856179.7062, 1114191.63245, 873249.0624, 2843620.40105, 247545.739371516, 0, 3091166.14042152, 882.016253427419, 76.7821772244156, 958.798430651835, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 11126, 34868.375, 2.73777750715179, 3.13395425130325, 3.31626989441296, 3.57093246498912, 2421377.8238, 2233751.50301875, 1585778.812475, 6240908.13929375, 569699.536008071, 0, 6810607.67530182, 560.93008622, 51.20434442, 612.13443064, 1.13943350114449, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24079922655495, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.6875, 22.51, 0, 29.5634730696465, 0, 3422.0538625, 3554.80645, 3988.2646375, 10965.12495, 761.554504743159, 0, 11726.6794547432, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1136, 0, 0, 0, 0, 65205.0516, 73401.9494, 78008.0444, 216615.0454, 14996.7656318653, 0, 231611.811031865, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 2416.6875, 15.34, 0, 20.1467648551034, 0, 139867.258375, 154754.1753875, 165663.7268, 460285.1605625, 31903.6056716183, 0, 492188.766234118, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
