설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 24000, 4648.4375, 2.26, 0.193684895833333, 2.737538, 0.238287162584831, 226608.32025, 293607.7976, 408939.255725, 929155.373575, 22090.8450520348, 0, 951246.218627035, 38.7148072322917, 0.920451877168117, 39.6352591094598, 1.23028262766487, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 21178, 44786.5, 3.25, 2.11476532250449, 3.936725, 2.60175903786537, 2307961.1815, 3021393.3308, 3415608.4105, 8744962.9228, 212839.611573342, 0, 8957802.53437334, 412.926759977335, 10.0500335996478, 422.976793576983, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 45178, 49434.9375, 2.73777750715179, 1.09422589534729, 3.31626989441296, 1.34620710978682, 2534569.50175, 3315001.1284, 3824547.666225, 9674118.296375, 234930.456625377, 0, 9909048.75300037, 214.13339007, 5.2001075, 219.33349757, 1.23028262766487, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3027018170986, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 3604, 73082.2083307664, 22.51, 20.2780822227432, 29.5634730696465, 26.4162945588423, 6762865.98902768, 4106862.57975353, 787943.221421266, 11657671.7902025, 827615.412596834, 0, 12485287.2027993, 3234.64811048903, 229.638016813772, 3464.28612730281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1142, 0, 0, 0, 0, 66174.1288, 73017.646, 78283.6912, 217475.466, 12932.515625526, 0, 230407.981625526, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 4512, 60232.8697942336, 15.34, 13.3494835536865, 20.1467648551034, 17.3903964827153, 3499285.17630982, 3830849.08798866, 4140121.95275373, 11470256.2170522, 682103.791404729, 0, 12152360.0084569, 2542.16671477221, 151.175485683672, 2693.34220045588, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
