설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 6037, 14099.40625, 2.26, 2.33549879907239, 2.737538, 2.82006130752294, 594347.160225, 1219562.8209375, 953557.0347875, 2767467.01595, 215175.233759151, 0, 2982642.24970915, 458.417594161007, 35.6427420505468, 494.060336211554, 1.20747709596041, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 7170, 21551.25, 3.25, 3.00575313807531, 3.936725, 3.62937807033706, 1749911.1539, 823658.26205, 1274728.6266, 3848298.04255, 328900.038365226, 0, 4177198.08091523, 536.722181666667, 45.8716929379673, 582.593874604634, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 13207, 35650.65625, 2.73777750715179, 2.69937580449762, 3.31626989441296, 3.25943445732057, 2344258.314125, 2043221.0829875, 2228285.6613875, 6615765.0585, 544075.272124377, 0, 7159840.33062438, 500.92867862, 41.19597729, 542.12465591, 1.20747709596041, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2891843575419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 5482, 109321.016015946, 22.51, 19.9418124801069, 29.5634730696465, 25.7086727103877, 6954832.38901131, 5647213.19083566, 8185156.16832424, 20787201.7481712, 1040482.69086415, 0, 21827684.4390354, 3791.9010850367, 189.799834159823, 3981.70091919653, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1951, 0, 0, 0, 0, 179002.4028, 72825.4943, 76905.4572, 328733.3543, 18568.9980193731, 0, 347302.352319373, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 3031, 45866.3902340538, 15.34, 15.1324283187244, 20.1467648551034, 19.5084898801236, 3259228.32027619, 3673801.56757684, 883313.44902576, 7816343.33687879, 436541.727017907, 0, 8252885.0638967, 2578.80017712926, 144.025644017785, 2722.82582114705, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
