설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 4310, 11757.75, 2.26, 2.7280162412993, 2.737538, 3.29855961262121, 1025499.989475, 630665.8983625, 294408.010325, 1950573.8981625, 185542.351246308, 0, 2136116.24940881, 452.569349921694, 43.0492694306979, 495.618619352392, 1.20914221942101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 8059, 24779.5, 3.25, 3.07476113661745, 3.936725, 3.7178235049191, 1793900.3368, 1360530.11185, 1306841.4788, 4461271.92745, 391031.166057101, 0, 4852303.0935071, 553.576365237622, 48.5210529913266, 602.097418228949, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 12369, 36537.25, 2.73777750715179, 2.95393726251112, 3.31626989441296, 3.57173025762313, 2819400.326275, 1991196.0102125, 1601249.489125, 6411845.8256125, 576573.517303409, 0, 6988419.34291591, 518.3802915, 46.6144003, 564.9946918, 1.20914221942101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31371668164121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.6875, 22.51, 0, 29.5634730696465, 0, 3283.6142625, 3566.81593125, 4246.6835125, 11097.11370625, 895.06484695057, 0, 11992.1785532006, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1123, 0, 0, 0, 0, 65481.9308, 71672.5841, 76354.1636, 213508.6785, 17424.1876164765, 0, 230932.866116477, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 2422.5625, 15.34, 0, 20.1467648551034, 0, 140403.711825, 154862.26071875, 166059.969075, 461325.94161875, 37587.874899947, 0, 498913.816518697, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
