설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
기존 Q/R, 10534, 17924.34375, 2.26, 1.70157050977786, 2.737538, 2.07514066420182, 1132301.8146375, 969105.08946875, 1296056.79775, 3397463.70185625, 232612.970043968, 0, 3630076.67190022, 322.523609441451, 22.082112212262, 344.605721653713, 1.21954432818228, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
신설 Q/R, 5712, 28492.5, 3.25, 4.98818277310924, 3.936725, 6.08331000888192, 1250317.2474, 2268062.59095, 2110765.371, 5629145.20935, 369761.099285866, 0, 5998906.30863587, 985.494609480042, 64.7340860094304, 1050.22869548947, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 16246, 46416.84375, 2.73777750715179, 2.85712444601748, 3.31626989441296, 3.48438991305155, 2382619.0620375, 3237167.68041875, 3406822.16875, 9026608.91120625, 602374.069329834, 0, 9628982.98053608, 555.6203934, 37.07830046, 592.69869387, 1.21954432818228, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2871506029728, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2R, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3R, 0, 57.125, 22.51, 0, 29.5634730696465, 0, 3378.7914875, 3548.801709375, 3927.9669, 10855.560096875, 999.484992331523, 0, 11855.0450892065, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4R, 0, 1138, 0, 0, 0, 0, 65481.9308, 73594.1011, 77732.3976, 216808.4295, 19910.9657990945, 0, 236719.395299094, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5R, 0, 1972.8125, 15.34, 0, 20.1467648551034, 0, 114671.251175, 126003.477275, 134722.3735, 375397.10195, 34517.2251454535, 0, 409914.327095454, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
